doc,start,end,surfaceform,class,link,
7,646,653,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1242,1249,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1070,1077,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,854,869,Hendrik Marsman,Person,http://de.dbpedia.org/resource/Hendrik_Marsman,
7,1469,1484,Kiez goes König,Work,NIL,
7,1535,1552,Bar Linda Carrell,Organisation,NIL,
7,1500,1515,Prenzlauer Berg,Location,http://de.dbpedia.org/resource/Berlin-Prenzlauer_Berg,
7,1717,1729,Rudi Carrell,Person,http://de.dbpedia.org/resource/Rudi_Carrell,
7,1493,1499,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,2005,2011,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,897,903,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
8,244,262,Lausitzer Seenland,Location,http://de.dbpedia.org/resource/Lausitzer_Seenland,
8,358,373,Koschener Kanal,Location,NIL,
8,528,541,Senftenberger,Location,http://de.dbpedia.org/resource/Senftenberger_See,
8,553,569,Geierswalder See,Location,http://de.dbpedia.org/resource/Geierswalder_See,
8,454,469,Koschener Kanal,Location,NIL,
9,640,656,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1105,1111,Berlin,Location,http://dbpedia.org/resource/Berlin,
9,1150,1166,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1260,1269,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
9,450,466,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1395,1404,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
9,1361,1381,Openbare Bibliotheek,Location,NIL,
9,1596,1604,Internet,Misc,http://de.dbpedia.org/resource/Internet,
9,2634,2637,CDU,Organisation,http://de.dbpedia.org/resource/Christlich_Demokratische_Union_Deutschlands,
9,3249,3252,ICC,Organisation,http://de.dbpedia.org/resource/Internationales_Congress_Centrum_Berlin,
9,998,1004,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
9,3280,3283,ZLB,Organisation,http://de.dbpedia.org/resource/Zentral-_und_Landesbibliothek_Berlin,
9,1636,1642,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
9,230,236,Berlin,Location,NIL,
9,2016,2022,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
10,95,120,deutsche Friedensbewegung,Organisation,http://de.dbpedia.org/resource/Friedensbewegung,
10,182,202,Bertolt-Brecht-Platz,Location,NIL,
10,362,367,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,837,842,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,1471,1476,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,1880,1885,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,435,447,Berlin-Tegel,Location,http://de.dbpedia.org/resource/Flughafen_Berlin-Tegel,
10,751,763,Jack-Russel,Misc,http://de.dbpedia.org/resource/Jack_Russell_Terrier,
10,951,954,rbb,Organisation,http://de.dbpedia.org/resource/Rundfunk_Berlin-Brandenburg,
10,1846,1859,Ritz Charlton,Organisation,http://de.dbpedia.org/resource/Ritz-Carlton,
10,1964,1977,Ritz Charlton,Organisation,http://de.dbpedia.org/resource/Ritz-Carlton,
10,2075,2092,Brandenburger Tor,Location,http://de.dbpedia.org/resource/Brandenburger_Tor,
10,2443,2458,Pariser Platzes,Location,http://de.dbpedia.org/resource/Pariser_Platz,
10,2464,2469,Spree,Location,http://de.dbpedia.org/resource/Spree,
11,1306,1324,Staatsanwaltschaft,Organisation,http://de.dbpedia.org/resource/Staatsanwaltschaft_(Deutschland),
11,1395,1413,Staatsanwaltschaft,Organisation,http://de.dbpedia.org/resource/Staatsanwaltschaft_(Deutschland),
11,932,935,DNA,Misc,http://de.dbpedia.org/resource/Desoxyribonukleins%C3%A4ure,
11,648,663,Heinrich Scholl,Person,NIL,
11,20,35,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
11,321,333,Ludwigsfelde,Location,http://de.dbpedia.org/resource/Ludwigsfelde,
11,336,351,Heinrich Scholl,Person,NIL,
11,590,605,Brigitte Scholl,Person,NIL,
11,692,700,Matthias,Person,NIL,
11,870,885,Brigitte Scholl,Person,NIL,
11,1141,1156,Brigitte Scholl,Person,NIL,
11,1178,1193,Brigitte Scholl,Person,NIL,
12,3691,3697,Bayern,Location,http://de.dbpedia.org/resource/Bayern,
12,3757,3780,Lebensmittelklarheit.de,Product,NIL,
12,3672,3683,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
12,62,71,Frau Dörr,Person,NIL,
12,3707,3713,Neapel,Location,http://de.dbpedia.org/resource/Neapel,
12,1209,1232,Lebensmittelklarheit.de,Product,NIL,
12,845,875,Portal Lebensmittelklarheit,Product,NIL,
12,2381,2387,Nestle,Organisation,NIL,
12,188,204,Mark Brandenburg,Product,http://de.dbpedia.org/resource/EMB_Energie_Mark_Brandenburg,
12,2580,2596,Mark Brandenburg,Product,http://de.dbpedia.org/resource/EMB_Energie_Mark_Brandenburg,
12,3369,3385,Mark Brandenburg,Product,http://de.dbpedia.org/resource/EMB_Energie_Mark_Brandenburg,
12,237,248,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
13,274,293,IOC-Vollversammlung,Event,NIL,
13,4,37,Internationale Olympische Komitee,Organisation,http://de.dbpedia.org/resource/Internationales_Olympisches_Komitee,
13,81,113,Liste der Olympischen Sportarten,Misc,NIL,
13,175,186,Spiele 2020,Event,NIL,
14,933,957,13. All Nations Festival,Event,NIL,
14,99,111,Oranienplatz,Location,http://de.dbpedia.org/resource/Oranienplatz,
14,243,250,Lietzen,Location,http://de.dbpedia.org/resource/Lietzen,
14,309,319,Bundeswehr,Organisation,http://de.dbpedia.org/resource/Bundeswehr,
14,429,438,Oderbruch,Location,http://de.dbpedia.org/resource/Oderbruch,
14,451,460,Uckermark,Location,http://de.dbpedia.org/resource/Uckermark,
14,522,562,Kämpfen um die Seelower Höhen ums Leben,Event,http://de.dbpedia.org/resource/Schlacht_um_die_Seelower_H%C3%B6hen,
14,568,583,Nollendorfplatz,Location,http://de.dbpedia.org/resource/Nollendorfplatz,
14,587,597,Schöneberg,Location,http://de.dbpedia.org/resource/Berlin-Sch%C3%B6neberg,
14,1064,1089,Koreanische Kulturzentrum,Organisation,NIL,
14,804,819,Regenbogenfonds,Organisation,NIL,
14,633,663,21. lesbisch-schwule Stadtfest,Event,NIL,
15,3,9,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,761,767,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,1052,1058,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,82,113,Ministerpräsienten Erdogan,Person,http://dbpedia.org/resource/Recep_Tayyip_Erdo%C4%9Fan,
15,170,184,Kottbusser Tor,Location,http://de.dbpedia.org/resource/Kottbusser_Tor,
15,188,197,Kreuzberg,Location,http://de.dbpedia.org/resource/Berlin-Kreuzberg,
15,478,482,A 24,Location,http://de.dbpedia.org/resource/Bundesautobahn_24,
15,825,828,S85,Location,http://de.dbpedia.org/resource/S85,
15,883,899,S-Bahnkrise 2009,Event,NIL,
15,1083,1099,Willem-Alexander,Person,http://de.dbpedia.org/resource/Willem-Alexander,
15,1104,1110,Maxima,Person,http://de.dbpedia.org/resource/M%C3%A1xima_der_Niederlande,
15,1116,1138,Bundeskanzlerin Merkel,Person,http://de.dbpedia.org/resource/Angela_Merkel,
15,1169,1190,Bundespräsident Gauck,Person,http://de.dbpedia.org/resource/Joachim_Gauck,
15,1239,1248,Luxemburg,Location,http://de.dbpedia.org/resource/Luxemburg,
16,139,145,Berlin,Location,NIL,
16,219,230,Hotel Adlon,Location,http://de.dbpedia.org/resource/Hotel_Adlon,
16,437,448,Hotel Adlon,Location,http://de.dbpedia.org/resource/Hotel_Adlon,
16,372,384,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,490,502,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,707,719,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,552,573,Goldene Sportpyramide,Misc,NIL,
16,962,968,London,Location,http://de.dbpedia.org/resource/London,
16,1069,1091,goldenen Sportpyramide,Misc,NIL,
16,1174,1218,Ex-Handballbundestrainer Heiner Brand,Person,http://de.dbpedia.org/resource/Heiner_Brand,
16,1224,1275,Bundesinnenminister Hans-Peter Friedrich,Person,http://de.dbpedia.org/resource/Hans-Peter_Friedrich,
16,1422,1439,Franz Beckenbauer,Person,http://de.dbpedia.org/resource/Franz_Beckenbauer,
16,1445,1452,München,Location,http://de.dbpedia.org/resource/M%C3%BCnchen,
16,1456,1463,München,Location,http://de.dbpedia.org/resource/M%C3%BCnchen,
16,311,332,goldene Sportpyramide,Misc,NIL,
17,253,276,Berliner Philharmoniker,Organisation,http://de.dbpedia.org/resource/Berliner_Philharmoniker,
17,306,313,1. Mai.,Event,NIL,
17,379,383,Prag,Location,http://de.dbpedia.org/resource/Prag,
17,620,632,Simon Rattle,Person,NIL,
17,424,448,Dvoráks Biblische Lieder,Work,NIL,
17,514,529,Spanischen Saal,Location,NIL,
17,542,553,Prager Burg,Location,http://de.dbpedia.org/resource/Prager_Burg,
17,652,658,Dvorák,Person,http://de.dbpedia.org/resource/Anton%C3%ADn_Dvo%C5%99%C3%A1k,
17,563,604,Mezzo-Sopranistin Magdalena Kozena,Person,NIL,
18,2012,2017,Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,51,59,Mühlberg,Location,NIL,
18,100,117,Talsperre Bautzen,Location,http://de.dbpedia.org/resource/Talsperre_Bautzen,
18,211,215,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
18,240,251,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,309,326,Großbaustelle BER,Organisation,NIL,
18,607,618,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,464,513,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,623,638,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,685,706,Flughafengesellschaft,Organisation,NIL,
18,1348,1360,Rainer Bomba,Person,http://de.dbpedia.org/resource/Rainer_Bomba,
18,1382,1407,Bundesverkehrsministerium,Organisation,http://de.dbpedia.org/resource/Bundesministerium_f%C3%BCr_Verkehr_und_digitale_Infrastruktur,
18,1589,1594,Amman,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,1674,1679,Amman,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,913,921,Mehdorns,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1529,1541,Hauptbahnhof,Location,http://de.dbpedia.org/resource/Berlin_Hauptbahnhof,
18,1570,1577,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
18,1504,1513,Hany Azer,Person,NIL,
18,1553,1559,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
18,1684,1691,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1424,1431,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1855,1866,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,1694,1701,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
19,4,27,Strecke Berlin-Hannover,Location,http://de.dbpedia.org/resource/Schnellfahrstrecke_Hannover%E2%80%93Berlin,
19,229,243,Berlin-Wedding,Location,http://de.dbpedia.org/resource/Berlin-Wedding,
19,685,711,Bildungssenatorin Scheeres,Person,http://de.dbpedia.org/resource/Sandra_Scheeres,
19,920,932,Messe Berlin,Location,http://de.dbpedia.org/resource/Messe_Berlin,
19,1023,1048,Wirtschaftssenatorin Yzer,Person,http://de.dbpedia.org/resource/Cornelia_Yzer,
19,1055,1064,City Cube,Location,http://de.dbpedia.org/resource/CityCube_Berlin,
19,1091,1107,Deutschlandhalle,Location,http://de.dbpedia.org/resource/Deutschlandhalle,
19,1130,1134,Euro,Misc,http://de.dbpedia.org/resource/Euro,
19,610,616,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
19,1384,1395,Walter Jens,Person,http://de.dbpedia.org/resource/Walter_Jens,
19,1468,1476,Tübingen,Location,http://de.dbpedia.org/resource/T%C3%BCbingen,
19,1210,1213,ICC,Location,http://de.dbpedia.org/resource/Internationales_Congress_Centrum_Berlin,
20,47,58,rbb AKTUELL,Work,http://de.dbpedia.org/resource/RBB_Aktuell,
20,135,149,Olympiastadion,Location,http://de.dbpedia.org/resource/Olympiastadion_Berlin,
20,162,183,Reiter-Olympiastadion,Location,http://de.dbpedia.org/resource/Olympia-Reiterstadion_Berlin,
20,1272,1276,Euro,Misc,http://de.dbpedia.org/resource/Euro,
20,391,406,Arndt Breitfeld,Person,NIL,
20,890,900,Max Riedel,Person,NIL,
20,1333,1344,Deutschland,Location,http://de.dbpedia.org/resource/Deustchland,
20,1411,1422,Deutschland,Location,http://de.dbpedia.org/resource/Deustchland,
20,857,883,Reitstadion am Olympiapark,Location,http://de.dbpedia.org/resource/Olympia-Reiterstadion_Berlin,
21,0,41,Bundesforschungsministerin Johanna Wanka,Person,http://de.dbpedia.org/resource/Johanna_Wanka,
21,567,578,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
21,607,623,Joachim Rüetschi,Person,NIL,
21,722,735,Jan Gabelmann,Person,NIL,
21,1116,1146,Regine-Hildebrandt- Schule,Organisation,NIL,
21,1150,1162,Birkenwerder,Location,http://de.dbpedia.org/resource/Birkenwerder,
21,1941,1953,Birkenwerder,Location,http://de.dbpedia.org/resource/Birkenwerder,
21,1235,1239,Sara,Person,NIL,
21,1583,1587,Sara,Person,NIL,
21,1244,1251,Storkow,Location,http://de.dbpedia.org/resource/Storkow_(Mark),
22,220,230,NSU Morden,Event,http://de.dbpedia.org/resource/NSU-Prozess,
22,1243,1254,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
22,279,291,Frank Henkel,Person,http://de.dbpedia.org/resource/Frank_Henkel,
22,1059,1065,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
22,408,424,Norbert Siegmund,Person,NIL,
22,559,569,NSU-Affäre,Event,http://de.dbpedia.org/resource/NSU-Prozess,
22,899,904,Koran,Work,http://de.dbpedia.org/resource/Koran,
22,1197,1236,Krieg gegen das Assad-Regime in Syrien,Event,NIL,
22,1340,1346,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
22,1462,1468,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
23,1474,1482,Bukarest,Location,http://de.dbpedia.org/resource/Bukarest,
23,258,264,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
23,1572,1580,Rumänien,Location,http://de.dbpedia.org/resource/Rum%C3%A4nien,
23,202,218,Flughafens Tegel,Location,http://de.dbpedia.org/resource/Flughafen_Berlin-Tegel,
23,238,254,Saatwinkler Damm,Location,NIL,
23,405,421,Saatwinkler Damm,Location,NIL,
23,1493,1509,Saatwinkler Damm,Location,NIL,
23,1587,1603,Saatwinkler Damm,Location,NIL,
24,68,84,aturkundemuseum.,Location,http://de.dbpedia.org/resource/Museum_f%C3%BCr_Naturkunde_(Berlin),
24,103,107,nut,Person,NIL,
24,168,258,issenschaftlichen Sammlungen des Naturkundemuseums.,Misc,NIL,
24,281,289,iesdorf,Location,http://de.dbpedia.org/resource/Berlin-Biesdorf,
24,1545,1587,vangelische Kirchengemeinde Hellersdorf,Location,NIL,
24,1882,1893,ellersdorf.,Location,http://de.dbpedia.org/resource/Bezirk_Marzahn-Hellersdorf,
25,105,111,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
25,225,232,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
25,2237,2248,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
25,649,667,Haitham Abuhashish,Person,NIL,
25,56,67,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
25,2364,2382,Haitham Abuhashish,Person,NIL,
25,716,723,Ukraine,Location,http://de.dbpedia.org/resource/Ukraine,
25,743,749,Lübben,Location,http://de.dbpedia.org/resource/L%C3%BCbben_(Spreewald),
25,2400,2406,Lübben,Location,http://de.dbpedia.org/resource/L%C3%BCbben_(Spreewald),
26,64,72,Nussbaum,Person,NIL,
26,995,1014,Heizkraftwerk Rudow,Location,http://de.dbpedia.org/resource/Heizkraftwerk_Berlin-Rudow,
26,242,254,Brandenburgs,Location,NIL,
26,475,483,Prignitz,Location,http://de.dbpedia.org/resource/Prignitz,
26,686,696,Air Berlin,Organisation,http://de.dbpedia.org/resource/Air_Berlin,
26,749,768,Vereinigung Cockpit,Entity,http://de.dbpedia.org/resource/Vereinigung_Cockpit,
26,1452,1460,Haßleben,Location,http://de.dbpedia.org/resource/Ha%C3%9Fleben,
26,1572,1578,Lieske,Person,NIL,
26,1589,1608,Brandenburg Aktuell,Work,http://de.dbpedia.org/resource/Brandenburg_aktuell,
26,1541,1570,Landesamtes für Umweltschutz,Organisation,http://de.dbpedia.org/resource/Landesamt_f%C3%BCr_Umwelt_Landwirtschaft_und_Geologie,
26,41,45,Euro,Misc,http://de.dbpedia.org/resource/Euro,
26,421,429,Platzeck,Person,http://de.dbpedia.org/resource/Matthias_Platzeck,
26,255,290,Ministerpräsident Platzeck,Person,http://de.dbpedia.org/resource/Matthias_Platzeck,
27,59,100,Kunstausstellung Based in Berlin,Event,NIL,
27,174,196,Hexenkessel Hoftheater,Location,NIL,
27,210,222,Monbijoupark,Location,http://de.dbpedia.org/resource/Monbijoupark,
27,378,407,Berliner Arbeitslosenzentrums,Organisation,NIL,
27,1408,1426,Jobcenter Neukölln,Organisation,NIL,
27,754,766,Michael Sabe,Person,NIL,
27,2076,2088,Michael Sabe,Person,NIL,
27,2374,2380,Tafeln,Organisation,http://de.dbpedia.org/resource/Tafel_(Organisation),
27,1018,1022,Euro,Misc,http://de.dbpedia.org/resource/Euro,
27,1034,1038,Euro,Misc,http://de.dbpedia.org/resource/Euro,
27,1171,1175,Euro,Misc,http://de.dbpedia.org/resource/Euro,
27,2594,2598,Euro,Misc,http://de.dbpedia.org/resource/Euro,
28,183,187,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
28,75,90,Bad Liebenwerda,Location,http://de.dbpedia.org/resource/Bad_Liebenwerda,
28,816,820,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
28,215,235,Mühlberg an der Elbe,Location,NIL,
28,1033,1044,Gedenktafel,Misc,http://de.dbpedia.org/resource/Berliner_Gedenktafel,
28,113,121,Herzberg,Location,http://de.dbpedia.org/resource/Herzberg,
28,1102,1121,Wunder von Mühlberg,Misc,NIL,
28,196,212,Schwarzen Elster,Location,http://de.dbpedia.org/resource/Schwarze_Elster,
28,311,324,Andreas Rauch,Person,NIL,
28,426,431,Spree,Location,http://de.dbpedia.org/resource/Spree,
28,435,442,Cottbus,Location,http://de.dbpedia.org/resource/Cottbus,
28,1065,1083,Elbe-Flut von 2002,Event,NIL,
29,449,456,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,757,764,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,843,850,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1330,1345,Betten-Hochhaus,Organisation,NIL,
29,1418,1425,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1500,1507,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,465,480,Betten-Hochhaus,Organisation,NIL,
29,1679,1686,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1080,1095,Betten-Hochhaus,Organisation,NIL,
29,2217,2224,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,484,489,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
29,954,959,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
29,2256,2260,Euro,Misc,http://de.dbpedia.org/resource/Euro,
29,1937,1951,Campus Virchow,Location,http://de.dbpedia.org/resource/Rudolf-Virchow-Krankenhaus,
29,2296,2302,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
29,612,618,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
30,278,286,Istanbul,Location,http://de.dbpedia.org/resource/Istambul,
30,369,378,Gezi-Park,Location,http://de.dbpedia.org/resource/Gezi-Park,
30,591,603,Taksim-Platz,Location,http://de.dbpedia.org/resource/Taksim-Platz,
30,689,717,Protestzelt am Cottusser Tor,Event,NIL,
30,743,752,Kreuzberg,Location,http://de.dbpedia.org/resource/Berlin-Kreuzberg,
31,267,280,rbb-online.de,Misc,NIL,
31,367,372,1.Mai,Event,NIL,
31,590,616,Deutsche Gewerkschaftsbund,Organisation,http://de.dbpedia.org/resource/Deutscher_Gewerkschaftsbund,
31,624,636,Berlin-Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
31,654,661,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
31,670,677,Cottbus,Location,http://de.dbpedia.org/resource/Cottbus,
31,807,819,Jeremy Arndt,Person,NIL,
31,1796,1808,Jeremy Arndt,Person,NIL,
31,2024,2030,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
31,882,885,BVG,Organisation,http://de.dbpedia.org/resource/BVG,
31,2363,2406,Gewerkschaft für Erziehung und Wissenschaft,Organisation,http://de.dbpedia.org/resource/Gewerkschaft_Erziehung_und_Wissenschaft,
31,2158,2169,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
31,2408,2411,GEW,Organisation,http://de.dbpedia.org/resource/Gewerkschaft_Erziehung_und_Wissenschaft,
32,212,216,Kohl,Person,NIL,
32,1230,1233,DHL,Organisation,http://de.dbpedia.org/resource/Berlin,
32,38,59,Straße der Erinnerung,Location,NIL,
32,96,110,Käthe Kollwitz,Person,NIL,
32,219,253,Wenn der Postmann zweimal klingelt,Work,http://de.dbpedia.org/resource/Wenn_der_Postmann_zweimal_klingelt,
32,296,307,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
32,551,567,Post-Tochter DHL,Organisation,http://de.dbpedia.org/resource/DHL,
32,633,639,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
32,1302,1308,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
32,731,736,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
32,1587,1593,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
32,714,727,Georgenstraße,Location,NIL,
33,352,384,ostdeutsche Rosengarten in Forst,Location,http://de.dbpedia.org/resource/Ostdeutscher_Rosengarten_Forst_(Lausitz),
34,72,87,Friedrichshafen,Location,http://de.dbpedia.org/resource/Friedrichshafen,
